Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot _Cases/1_Mpop,Deaths/1_Mpop,Total_Tests,Tests/1_Mpop,Population,Continent,1_Caseevery_Xppl,1_Deathevery_Xppl,1_Testevery_Xppl,New_Cases/1_Mpop,New_Deaths/1_Mpop,Active_Cases/1_Mpop
Lithuania,1035798.0,1869.0,8936.0,9.0,977467.0,4039.0,49395.0,60.0,390042.0,3365.0,8111017.0,3054301.0,2655605.0,Europe,3.0,297.0,0.0,704.0,3.0,18600.0
Slovenia,980451.0,2280.0,6517.0,5.0,940042.0,3345.0,33892.0,40.0,471498.0,3134.0,2622528.0,1261170.0,2079440.0,Europe,2.0,319.0,1.0,1096.0,2.0,16299.0
Nepal,978538.0,10.0,11951.0,0.0,965822.0,57.0,765.0,100.0,32556.0,398.0,5566414.0,185197.0,30056735.0,Asia,31.0,2515.0,5.0,0.3,0.0,25.0
Belarus,966818.0,871.0,6862.0,9.0,928536.0,0.0,31420.0,0.0,102375.0,727.0,12913852.0,1367433.0,9443865.0,Europe,10.0,1376.0,1.0,92.0,1.0,3327.0
Finland,913476.0,5690.0,3307.0,53.0,46000.0,0.0,864169.0,45.0,164417.0,595.0,10497812.0,1889511.0,5555835.0,Europe,6.0,1680.0,1.0,1024.0,10.0,155543.0
Bolivia,902749.0,144.0,21897.0,0.0,845056.0,1136.0,35796.0,220.0,75528.0,1832.0,2686794.0,224788.0,11952584.0,South America,13.0,546.0,4.0,12.0,0.0,2995.0
UAE,892929.0,215.0,2302.0,0.0,871669.0,614.0,18958.0,0.0,88407.0,228.0,149610167.0,14812565.0,10100220.0,Asia,11.0,4388.0,0.0,21.0,0.0,1877.0
Uruguay,890980.0,0.0,7171.0,0.0,878876.0,0.0,4933.0,35.0,254939.0,2052.0,6037194.0,1727444.0,3494871.0,South America,4.0,487.0,1.0,0.0,0.0,1411.0
Ecuador,862321.0,0.0,35449.0,0.0,0.0,0.0,0.0,759.0,47607.0,1957.0,2470170.0,136373.0,18113398.0,South America,21.0,511.0,7.0,0.0,0.0,21144.0
Costa Rica,841343.0,0.0,8327.0,0.0,820853.0,0.0,12163.0,63.0,162553.0,1609.0,4136613.0,799222.0,5175801.0,North America,6.0,622.0,1.0,0.0,0.0,2350.0
Guatemala,832159.0,0.0,17338.0,0.0,807873.0,0.0,6948.0,5.0,44988.0,937.0,4279413.0,231353.0,18497306.0,North America,22.0,1067.0,4.0,0.0,0.0,376.0
Latvia,805353.0,1065.0,5667.0,10.0,771691.0,4800.0,27995.0,30.0,435424.0,3064.0,7084722.0,3830439.0,1849585.0,Europe,2.0,326.0,0.0,576.0,5.0,15136.0
Azerbaijan,792141.0,38.0,9701.0,1.0,782143.0,59.0,297.0,0.0,76909.0,942.0,6726560.0,653086.0,10299655.0,Asia,13.0,1062.0,2.0,4.0,0.1,29.0
Panama,765677.0,0.0,8172.0,0.0,755296.0,0.0,2209.0,10.0,172683.0,1843.0,5729565.0,1292186.0,4434010.0,North America,6.0,543.0,1.0,0.0,0.0,498.0
Saudi Arabia,751404.0,108.0,9053.0,3.0,736013.0,314.0,6338.0,84.0,21009.0,253.0,41618512.0,1163643.0,35765710.0,Asia,48.0,3951.0,1.0,3.0,0.08,177.0
New Zealand,730285.0,12635.0,404.0,18.0,643478.0,15974.0,86403.0,0.0,145996.0,81.0,6943325.0,1388082.0,5002100.0,Australia/Oceania,7.0,12381.0,1.0,2526.0,4.0,17273.0
Sri Lanka,662216.0,0.0,16485.0,0.0,637306.0,0.0,8425.0,0.0,30699.0,764.0,6368159.0,295220.0,21570918.0,Asia,33.0,1309.0,3.0,0.0,0.0,391.0
Paraguay,648353.0,0.0,18731.0,0.0,624673.0,0.0,4949.0,8.0,88982.0,2571.0,2601300.0,357009.0,7286371.0,South America,11.0,389.0,3.0,0.0,0.0,679.0
Kuwait,629525.0,0.0,2554.0,0.0,625298.0,0.0,1673.0,10.0,143680.0,583.0,7922315.0,1808148.0,4381453.0,Asia,7.0,1716.0,1.0,0.0,0.0,382.0
Myanmar,612079.0,95.0,19434.0,1.0,590464.0,106.0,2181.0,0.0,11119.0,353.0,7732206.0,140457.0,55050330.0,Asia,90.0,2833.0,7.0,2.0,0.02,40.0
Palestine,581467.0,0.0,5351.0,0.0,575095.0,0.0,1021.0,17.0,109514.0,1008.0,3078533.0,579812.0,5309533.0,Asia,9.0,992.0,2.0,0.0,0.0,192.0
Dominican Republic,578319.0,0.0,4375.0,0.0,573814.0,0.0,130.0,21.0,52389.0,396.0,3237860.0,293313.0,11038927.0,North America,19.0,2523.0,3.0,0.0,0.0,12.0
Estonia,561228.0,998.0,2479.0,4.0,490210.0,2089.0,68539.0,10.0,422579.0,1867.0,3262504.0,2456516.0,1328102.0,Europe,2.0,536.0,0.0,751.0,3.0,51607.0
Bahrain,557387.0,0.0,1472.0,0.0,550620.0,0.0,5295.0,3.0,308747.0,815.0,9628972.0,5333665.0,1805320.0,Asia,3.0,1226.0,0.0,0.0,0.0,2933.0
Venezuela,521030.0,0.0,5688.0,0.0,513671.0,0.0,1671.0,230.0,18415.0,201.0,3359014.0,118716.0,28294457.0,South America,54.0,4974.0,8.0,0.0,0.0,59.0
Moldova,514428.0,0.0,11452.0,0.0,500531.0,0.0,2445.0,52.0,128047.0,2851.0,3167975.0,788544.0,4017499.0,Europe,8.0,351.0,1.0,0.0,0.0,609.0
Egypt,509177.0,0.0,24473.0,0.0,438458.0,0.0,46246.0,122.0,4816.0,231.0,3693367.0,34935.0,105722407.0,Africa,208.0,4320.0,29.0,0.0,0.0,437.0
Libya,501738.0,0.0,6419.0,0.0,490052.0,0.0,5267.0,101.0,71317.0,912.0,2473358.0,351562.0,7035342.0,Africa,14.0,1096.0,3.0,0.0,0.0,749.0
Ethiopia,469879.0,0.0,7508.0,0.0,449425.0,0.0,12946.0,15.0,3917.0,63.0,4682260.0,39032.0,119960755.0,Africa,255.0,15978.0,26.0,0.0,0.0,108.0
Mongolia,468859.0,87.0,2177.0,0.0,313256.0,0.0,153426.0,192.0,139087.0,646.0,4030048.0,1195515.0,3370971.0,Asia,7.0,1548.0,1.0,26.0,0.0,45514.0
Cyprus,447161.0,0.0,954.0,0.0,124370.0,0.0,321837.0,60.0,365688.0,780.0,9477138.0,7750403.0,1222793.0,Asia,3.0,1282.0,0.0,0.0,0.0,263198.0
Armenia,422610.0,16.0,8619.0,0.0,410252.0,23.0,3739.0,0.0,142151.0,2899.0,2988475.0,1005216.0,2972969.0,Asia,7.0,345.0,1.0,5.0,0.0,1258.0
Honduras,421062.0,0.0,10880.0,0.0,131100.0,0.0,279082.0,105.0,41357.0,1069.0,1263329.0,124085.0,10181160.0,North America,24.0,936.0,8.0,0.0,0.0,27412.0
Oman,388571.0,35.0,4253.0,1.0,383416.0,52.0,902.0,10.0,72841.0,797.0,25000000.0,4686451.0,5334527.0,Asia,14.0,1254.0,0.0,7.0,0.2,169.0
Bosnia and Herzegovina,375948.0,99.0,15728.0,1.0,192218.0,0.0,168002.0,0.0,115855.0,4847.0,1741822.0,536773.0,3244986.0,Europe,9.0,206.0,2.0,31.0,0.3,51773.0
Qatar,362273.0,123.0,677.0,0.0,360311.0,134.0,1285.0,2.0,129024.0,241.0,3414603.0,1216111.0,2807805.0,Asia,8.0,4147.0,1.0,44.0,0.0,458.0
Réunion,347941.0,0.0,720.0,0.0,331736.0,0.0,15485.0,10.0,383815.0,794.0,1603660.0,1769005.0,906532.0,Africa,3.0,1259.0,1.0,0.0,0.0,17082.0
Kenya,323479.0,0.0,5648.0,0.0,317717.0,0.0,114.0,1.0,5792.0,101.0,3534556.0,63287.0,55850051.0,Africa,173.0,9888.0,16.0,0.0,0.0,2.0
Zambia,317358.0,137.0,3967.0,0.0,312638.0,23.0,753.0,0.0,16454.0,206.0,3371058.0,174781.0,19287307.0,Africa,61.0,4862.0,6.0,7.0,0.0,39.0
North Macedonia,307142.0,195.0,9234.0,3.0,296373.0,207.0,1535.0,0.0,147436.0,4433.0,1974520.0,947819.0,2083224.0,Europe,7.0,226.0,1.0,94.0,1.0,737.0
Botswana,305526.0,0.0,2686.0,0.0,302476.0,0.0,364.0,1.0,125474.0,1103.0,2026898.0,832413.0,2434968.0,Africa,8.0,907.0,1.0,0.0,0.0,149.0
Albania,274000.0,0.0,3492.0,0.0,270055.0,0.0,453.0,13.0,95395.0,1216.0,1782376.0,620544.0,2872279.0,Europe,10.0,823.0,2.0,0.0,0.0,158.0
Algeria,265699.0,0.0,6874.0,0.0,178312.0,0.0,80513.0,6.0,5873.0,152.0,230861.0,5103.0,45241031.0,Africa,170.0,6581.0,196.0,0.0,0.0,1780.0
Nigeria,255516.0,0.0,3142.0,0.0,249674.0,0.0,2700.0,11.0,1188.0,15.0,4906535.0,22810.0,215105356.0,Africa,842.0,68461.0,44.0,0.0,0.0,13.0
Zimbabwe,246744.0,0.0,5451.0,0.0,239055.0,0.0,2238.0,12.0,16188.0,358.0,2203571.0,144565.0,15242784.0,Africa,62.0,2796.0,7.0,0.0,0.0,147.0
Uzbekistan,237932.0,26.0,1637.0,0.0,235787.0,45.0,508.0,23.0,6933.0,48.0,1377915.0,40148.0,34320808.0,Asia,144.0,20966.0,25.0,0.8,0.0,15.0
Montenegro,233453.0,0.0,2706.0,0.0,230157.0,0.0,590.0,6.0,371619.0,4308.0,2427484.0,3864153.0,628206.0,Europe,3.0,232.0,0.0,0.0,0.0,939.0
Mozambique,225268.0,0.0,2200.0,0.0,223021.0,0.0,47.0,13.0,6870.0,67.0,1299144.0,39618.0,32791856.0,Africa,146.0,14905.0,25.0,0.0,0.0,1.0
Luxembourg,220034.0,0.0,1042.0,0.0,200508.0,0.0,18484.0,3.0,341744.0,1618.0,4174339.0,6483343.0,643856.0,Europe,3.0,618.0,0.0,0.0,0.0,28708.0
Kyrgyzstan,200968.0,0.0,2991.0,0.0,196268.0,20.0,1709.0,131.0,29936.0,446.0,1907195.0,284098.0,6713158.0,Asia,33.0,2244.0,4.0,0.0,0.0,255.0
Laos,188985.0,2115.0,684.0,2.0,7660.0,0.0,180641.0,0.0,25330.0,92.0,1027633.0,137736.0,7460915.0,Asia,39.0,10908.0,7.0,283.0,0.3,24212.0
Iceland,182633.0,0.0,102.0,0.0,75685.0,0.0,106846.0,1.0,529169.0,296.0,1890042.0,5476287.0,345132.0,Europe,2.0,3384.0,0.0,0.0,0.0,309580.0
Afghanistan,177974.0,25.0,7671.0,0.0,161033.0,0.0,9270.0,1124.0,4398.0,190.0,926472.0,22895.0,40466988.0,Asia,227.0,5275.0,44.0,0.6,0.0,229.0
Maldives,176993.0,0.0,298.0,0.0,163687.0,0.0,13008.0,25.0,317615.0,535.0,2213831.0,3972736.0,557256.0,Asia,3.0,1870.0,0.0,0.0,0.0,23343.0
Uganda,163951.0,0.0,3596.0,0.0,100192.0,0.0,60163.0,3.0,3396.0,74.0,2570233.0,53241.0,48275153.0,Africa,294.0,13425.0,19.0,0.0,0.0,1246.0
El Salvador,161570.0,0.0,4121.0,0.0,144494.0,0.0,12955.0,40.0,24691.0,630.0,1875785.0,286656.0,6543678.0,North America,41.0,1588.0,3.0,0.0,0.0,1980.0
Ghana,161014.0,0.0,1445.0,0.0,159531.0,0.0,38.0,1.0,4999.0,45.0,2422885.0,75218.0,32211363.0,Africa,200.0,22292.0,13.0,0.0,0.0,1.0
Namibia,157776.0,0.0,4020.0,0.0,153069.0,0.0,687.0,3.0,60181.0,1533.0,987182.0,376546.0,2621680.0,Africa,17.0,652.0,3.0,0.0,0.0,262.0
Martinique,147519.0,0.0,918.0,0.0,104.0,0.0,146497.0,8.0,393642.0,2450.0,828928.0,2211926.0,374754.0,North America,3.0,408.0,0.0,0.0,0.0,390915.0
Trinidad and Tobago,139114.0,0.0,3766.0,0.0,128540.0,0.0,6808.0,18.0,98841.0,2676.0,676774.0,480853.0,1407446.0,North America,10.0,374.0,2.0,0.0,0.0,4837.0
Brunei,137239.0,418.0,214.0,0.0,134109.0,615.0,2916.0,3.0,308517.0,481.0,717784.0,1613596.0,444835.0,Asia,3.0,2079.0,1.0,940.0,0.0,6555.0
Cambodia,135834.0,22.0,3055.0,0.0,132449.0,121.0,330.0,0.0,7932.0,178.0,2933389.0,171291.0,17125206.0,Asia,126.0,5606.0,6.0,1.0,0.0,19.0
Guadeloupe,130705.0,0.0,843.0,0.0,2250.0,0.0,127612.0,19.0,326563.0,2106.0,938039.0,2343668.0,400244.0,North America,3.0,475.0,0.0,0.0,0.0,318836.0
Rwanda,129735.0,0.0,1458.0,0.0,45522.0,0.0,82755.0,1.0,9599.0,108.0,5145742.0,380725.0,13515640.0,Africa,104.0,9270.0,3.0,0.0,0.0,6123.0
Jamaica,128869.0,0.0,2897.0,0.0,81425.0,0.0,44547.0,0.0,43189.0,971.0,936937.0,314001.0,2983864.0,North America,23.0,1030.0,3.0,0.0,0.0,14929.0
Cameroon,119544.0,0.0,1927.0,0.0,117455.0,0.0,162.0,13.0,4315.0,70.0,1751774.0,63229.0,27705427.0,Africa,232.0,14377.0,16.0,0.0,0.0,6.0
Angola,99194.0,0.0,1900.0,0.0,97149.0,0.0,145.0,0.0,2862.0,55.0,1499795.0,43272.0,34659825.0,Africa,349.0,18242.0,23.0,0.0,0.0,4.0
DRC,86748.0,0.0,1337.0,0.0,50930.0,0.0,34481.0,0.0,920.0,14.0,846704.0,8975.0,94338290.0,Africa,1087.0,70560.0,111.0,0.0,0.0,366.0
Senegal,85931.0,7.0,1965.0,0.0,83934.0,9.0,32.0,0.0,4905.0,112.0,1051050.0,59998.0,17518170.0,Africa,204.0,8915.0,17.0,0.4,0.0,2.0
Malawi,85667.0,0.0,2626.0,0.0,80810.0,0.0,2231.0,67.0,4284.0,131.0,563689.0,28188.0,19997364.0,Africa,233.0,7615.0,35.0,0.0,0.0,112.0
